Msg::1::78.7717::void  Msg() {
compute_candidates::246::194.9353::                    }
compute_candidates::247::52.2629::                    else
compute_candidates::248::202.1177::                    {
compute_candidates::249::412.3021::                        if (g_target_arch == ARCH_64)
compute_candidates::250::734.5150::                            printf("[i] Base address seems to be 0x%016lx (not sure).\n", g_bm_address);
compute_candidates::251::218.7441::                        else
compute_candidates::252::796.6873::                            printf("[i] Base address seems to be 0x%08x (not sure).\n", (uint32_t)g_bm_address);
compute_candidates::253::180.5925::                    }
compute_candidates::254::152.3548::                }
compute_candidates::255::250.7069::                /* Sort remaining candidates. */
compute_candidates::256::575.0845::                qsort(p_scores, g_bm_kept, sizeof(score_entry_t), score_compare_func);
compute_candidates::257::493.2864::                /* Tell the user he/she should use the -m/--more to get all the candidates. */
compute_candidates::258::425.0822::                if ((nb_candidates > 0) && (g_bm_kept > 1))
compute_candidates::259::154.4650::                {
compute_candidates::260::455.8667::                    printf(" More base addresses to consider (just in case):\n");
compute_candidates::261::633.1733::                    for (i=0; i<((g_bm_kept>30)?30:g_bm_kept); i++)
compute_candidates::262::160.9353::                    {
compute_candidates::263::756.1221::                        if ((p_scores[i].base_address != max_address) && (p_scores[i].score > 0))
compute_candidates::264::223.0354::                        {
compute_candidates::265::432.8214::                            if (g_target_arch == ARCH_64)
compute_candidates::266::1046.4387::                                printf("  0x%016lx (%f)\n", p_scores[i].base_address, (float)p_scores[i].score/p_scores[0].score);
compute_candidates::267::251.9628::                            else
compute_candidates::268::1116.0314::                                printf("  0x%08x (%.02f)\n", (uint32_t)p_scores[i].base_address, (float)p_scores[i].score/p_scores[0].score);
compute_candidates::269::215.2139::                        }
compute_candidates::270::187.4942::                    }
compute_candidates::271::160.1411::                }
compute_candidates::272::127.1676::            }
compute_candidates::273::132.5635::            else
compute_candidates::274::126.5582::            {
compute_candidates::275::380.3451::                error("Cannot evaluate, low memory !\n");
compute_candidates::276::126.3684::            }
compute_candidates::277::234.6037::            /* Free scores. */
compute_candidates::278::239.4672::            free(p_scores);
compute_candidates::279::92.3881::        }
compute_candidates::280::59.9701::    }
compute_candidates::281::40.2582::    else
compute_candidates::282::255.9803::        error("No point of interests found, cannot deduce loading address.");
compute_candidates::283::10.2218::}
for::1::282.9796::void TextPage::buildLines(TextBlock *blk, GList *lines) {
for::2::91.4189::  TextLine *line;
for::3::69.0301::  int i;
for::4::128.9024::  switch (blk->tag) {
for::5::98.3601::  case blkTagLine:
for::6::138.7352::    line = buildLine(blk);
for::7::244.9307::    if (blk->rot == 1 || blk->rot == 2) {
for::8::160.0666::      lines->insert(0, line);
for::9::73.9416::    } else {
for::10::133.5553::      lines->append(line);
for::11::49.6739::    }
for::12::66.1215::    break;
for::13::88.0430::  case blkTagColumn:
for::14::217.7875::  case blkTagMulticolumn: // multicolumn should never happen here
for::15::276.9703::    for (i = 0; i < blk->children->getLength(); ++i) {
for::16::267.9663::      buildLines((TextBlock *)blk->children->get(i), lines);
for::17::45.9368::    }
for::18::57.4898::    break;
for::19::31.1436::  }
for::20::9.7611::}
if::1::381.2908::GBool XRef::readXRefTable(GFileOffset *pos, int offset, XRefPosSet *posSet) {
if::2::89.7092::  XRefEntry entry;
if::3::88.2062::  Parser *parser;
if::4::100.0077::  Object obj, obj2;
if::5::89.7273::  char buf[6];
if::6::120.7773::  GFileOffset off, pos2;
if::7::78.5045::  GBool more;
if::8::196.6272::  int first, n, newSize, gen, i, c;
if::9::153.7460::  if (posSet->check(*pos)) {
if::10::269.5732::    error(errSyntaxWarning, -1, "Infinite loop in xref table");
if::11::88.9893::    return gFalse;
if::12::32.6157::  }
if::13::114.4609::  posSet->add(*pos);
if::14::170.0143::  str->setPos(start + *pos + offset);
if::15::83.4271::  while (1) {
if::16::60.3049::    do {
if::17::143.2113::      c = str->getChar();
if::18::177.6324::    } while (Lexer::isSpace(c));
if::19::132.4536::    if (c == 't') {
if::20::392.7542::      if (str->getBlock(buf, 6) != 6 || memcmp(buf, "railer", 6)) {
if::21::78.5116::	goto err1;
if::22::62.7110::      }
if::23::78.8519::      break;
if::24::49.8361::    }
if::25::198.2314::    if (c < '0' || c > '9') {
if::26::117.5911::      goto err1;
if::27::48.7697::    }
if::28::88.8666::    first = 0;
if::29::60.9038::    do {
if::30::220.9050::      first = (first * 10) + (c - '0');
if::31::143.3889::      c = str->getChar();
if::32::215.8159::    } while (c >= '0' && c <= '9');
if::33::186.4945::    if (!Lexer::isSpace(c)) {
if::34::119.8220::      goto err1;
if::35::50.3113::    }
if::36::62.8214::    do {
if::37::147.7309::      c = str->getChar();
if::38::187.3896::    } while (Lexer::isSpace(c));
if::39::90.6654::    n = 0;
if::40::65.1618::    do {
if::41::223.4322::      n = (n * 10) + (c - '0');
if::42::147.8581::      c = str->getChar();
if::43::231.5209::    } while (c >= '0' && c <= '9');
if::44::146.5693::    if (!Lexer::isSpace(c)) {
if::48::133.4562::      goto err1;
if::49::54.2832::    }
if::50::158.4681::    if (first + n > size) {
if::51::229.0998::      for (newSize = size ? 2 * size : 1024;
if::52::182.1241::	   first + n > newSize && newSize > 0;
if::53::123.6640::	   newSize <<= 1) ;
if::54::151.2341::      if (newSize < 0) {
if::55::82.1199::	goto err1;
if::56::64.1491::      }
if::57::355.6708::      entries = (XRefEntry *)greallocn(entries, newSize, sizeof(XRefEntry));
if::58::237.7308::      for (i = size; i < newSize; ++i) {
if::59::191.7897::	entries[i].offset = (GFileOffset)-1;
if::60::164.4746::	entries[i].type = xrefEntryFree;
if::61::65.0715::      }
if::62::111.7889::      size = newSize;
if::63::52.6094::    }
if::64::241.3125::    for (i = first; i < first + n; ++i) {
if::65::76.8156::      do {
if::66::112.0760::	c = str->getChar();
if::67::200.1399::      } while (Lexer::isSpace(c));
if::68::105.4821::      off = 0;
if::69::76.5789::      do {
if::70::184.4652::	off = (off * 10) + (c - '0');
if::71::107.1934::	c = str->getChar();
if::72::230.2250::      } while (c >= '0' && c <= '9');
if::73::203.4239::      if (!Lexer::isSpace(c)) {
if::74::79.5653::	goto err1;
if::75::64.0871::      }
if::76::134.3611::      entry.offset = off;
if::77::77.9325::      do {
if::78::112.3729::	c = str->getChar();
if::79::206.4198::      } while (Lexer::isSpace(c));
if::80::105.6887::      gen = 0;
if::81::78.3124::      do {
if::82::198.4775::	gen = (gen * 10) + (c - '0');
if::83::117.1246::	c = str->getChar();
if::84::245.7904::      } while (c >= '0' && c <= '9');
if::85::210.0484::      if (!Lexer::isSpace(c)) {
if::86::87.7055::	goto err1;
if::87::66.9066::      }
if::88::139.8898::      entry.gen = gen;
if::89::33.4280::      do {
if::93::162.9511::	entry.type = xrefEntryUncompressed;
if::94::184.1288::      } else if (c == 'f') {
if::95::133.4918::	entry.type = xrefEntryFree;
if::96::91.0721::      } else {
if::97::79.4471::	goto err1;
if::98::63.1222::      }
if::99::138.1518::      c = str->getChar();
if::100::195.5892::      if (!Lexer::isSpace(c)) {
if::101::77.9067::	goto err1;
if::102::60.3497::      }
if::103::255.7170::      if (entries[i].offset == (GFileOffset)-1) {
if::104::110.0137::	entries[i] = entry;
if::105::144.2635::	// PDF files of patents from the IBM Intellectual Property
if::106::193.5491::	// Network have a bug: the xref table claims to start at 1
if::107::84.2615::	// instead of 0.
if::108::137.0257::	if (i == 1 && first == 1 &&
if::109::241.9739::	    entries[1].offset == 0 && entries[1].gen == 65535 &&
if::110::179.2097::	    entries[1].type == xrefEntryFree) {
if::111::93.7112::	  i = first = 0;
if::112::136.9615::	  entries[0] = entries[1];
if::113::180.6104::	  entries[1].offset = (GFileOffset)-1;
if::114::28.0709::	}
if::115::97.4304::	if (i > last) {
if::116::71.5213::	  last = i;
if::117::29.7809::	}
if::118::59.5571::      }
if::119::46.9462::    }
if::120::33.6211::  }
if::121::86.3942::  // read the trailer dictionary
if::122::89.6072::  obj.initNull();
if::123::118.0887::  parser = new Parser(NULL,
if::124::116.5065::	     new Lexer(NULL,
if::125::292.0593::	       str->makeSubStream(str->getPos(), gFalse, 0, &obj)),
if::126::82.4895::	     gTrue);
if::127::115.6816::  parser->getObj(&obj);
if::128::60.0682::  delete parser;
if::129::141.6229::  if (!obj.isDict()) {
if::130::92.5056::    obj.free();
if::131::97.5228::    goto err1;
if::132::34.2819::  }
if::133::111.2417::  // get the 'Prev' pointer
if::134::178.6449::  //~ this can be a 64-bit int (?)
if::135::243.3657::  obj.getDict()->lookupNF("Prev", &obj2);
if::136::135.7522::  if (obj2.isInt()) {
if::137::255.1813::    *pos = (GFileOffset)(Guint)obj2.getInt();
if::138::101.3759::    more = gTrue;
if::139::118.6459::  } else if (obj2.isRef()) {
if::142::273.5553::    *pos = (GFileOffset)(Guint)obj2.getRefNum();
if::143::112.1950::    more = gTrue;
if::144::66.5711::  } else {
if::145::106.1209::    more = gFalse;
if::146::36.9486::  }
if::147::91.7143::  obj2.free();
if::148::101.1891::  // save the first trailer dictionary
if::149::157.7017::  if (trailerDict.isNone()) {
if::150::155.2227::    obj.copy(&trailerDict);
if::151::35.2240::  }
if::152::144.6864::  // check for an 'XRefStm' key
if::153::172.4826::  //~ this can be a 64-bit int (?)
if::154::335.5071::  if (obj.getDict()->lookup("XRefStm", &obj2)->isInt()) {
if::155::231.5473::    pos2 = (GFileOffset)(Guint)obj2.getInt();
if::156::155.7407::    readXRef(&pos2, posSet);
if::157::99.3443::    if (!ok) {
if::158::112.9211::      obj2.free();
if::159::103.7513::      goto err1;
if::160::47.0432::    }
if::161::35.0172::  }
if::162::84.3102::  obj2.free();
if::163::73.8610::  obj.free();
if::164::60.1207::  return more;
if::165::48.6904:: err1:
if::166::79.4677::  ok = gFalse;
if::167::65.6115::  return gFalse;
if::168::10.4089::}
if::1::108.6262::template <typename T>
if::2::69.8899::AP4_Result
if::3::295.2817::AP4_Array<T>::EnsureCapacity(AP4_Cardinal count)
if::4::33.0726::{
if::5::144.3073::    // check if we already have enough
if::6::272.3794::    if (count <= m_AllocatedCount) return AP4_SUCCESS;
if::7::145.8203::    // (re)allocate the items
if::8::299.7649::    T* new_items = (T*) ::operator new (count*sizeof(T));
if::9::161.1722::    if (new_items == NULL) {
if::10::241.2428::        return AP4_ERROR_OUT_OF_MEMORY;
if::11::51.8629::    }
if::12::175.8233::    if (m_ItemCount && m_Items) {
if::13::302.3688::        for (unsigned int i=0; i<m_ItemCount; i++) {
if::14::366.5334::            new ((void*)&new_items[i]) T(m_Items[i]);
if::15::208.7700::            m_Items[i].~T();
if::16::79.4250::        }
if::17::208.5536::        ::operator delete((void*)m_Items);
if::18::50.9990::    }
if::19::130.7972::    m_Items = new_items;
if::20::127.9834::    m_AllocatedCount = count;
if::21::125.6962::    return AP4_SUCCESS;
if::22::11.0143::}
GENERAL_NAME_cmp::1::302.8825::int GENERAL_NAME_cmp(GENERAL_NAME *a, GENERAL_NAME *b)
GENERAL_NAME_cmp::2::34.1139::{
GENERAL_NAME_cmp::3::126.3759::    int result = -1;
GENERAL_NAME_cmp::4::256.7029::    if (!a || !b || a->type != b->type)
GENERAL_NAME_cmp::5::124.4420::        return -1;
GENERAL_NAME_cmp::6::132.1928::    switch (a->type) {
GENERAL_NAME_cmp::7::115.6565::    case GEN_X400:
GENERAL_NAME_cmp::8::407.6663::        result = ASN1_STRING_cmp(a->d.x400Address, b->d.x400Address);
GENERAL_NAME_cmp::9::100.2345::        break;
GENERAL_NAME_cmp::10::139.7405::    case GEN_EDIPARTY:
GENERAL_NAME_cmp::11::404.8267::        result = edipartyname_cmp(a->d.ediPartyName, b->d.ediPartyName);
GENERAL_NAME_cmp::12::97.3010::        break;
GENERAL_NAME_cmp::13::128.3274::    case GEN_OTHERNAME:
GENERAL_NAME_cmp::14::349.3241::        result = OTHERNAME_cmp(a->d.otherName, b->d.otherName);
GENERAL_NAME_cmp::15::99.1097::        break;
GENERAL_NAME_cmp::16::120.3339::    case GEN_EMAIL:
GENERAL_NAME_cmp::17::112.7537::    case GEN_DNS:
GENERAL_NAME_cmp::18::103.8084::    case GEN_URI:
GENERAL_NAME_cmp::19::393.2461::        result = ASN1_STRING_cmp(a->d.ia5, b->d.ia5);
GENERAL_NAME_cmp::20::94.8311::        break;
GENERAL_NAME_cmp::21::116.4823::    case GEN_DIRNAME:
GENERAL_NAME_cmp::22::372.2435::        result = X509_NAME_cmp(a->d.dirn, b->d.dirn);
GENERAL_NAME_cmp::23::97.6263::        break;
GENERAL_NAME_cmp::24::123.7774::    case GEN_IPADD:
GENERAL_NAME_cmp::25::431.0211::        result = ASN1_OCTET_STRING_cmp(a->d.ip, b->d.ip);
GENERAL_NAME_cmp::26::100.7882::        break;
GENERAL_NAME_cmp::27::115.2066::    case GEN_RID:
GENERAL_NAME_cmp::28::332.2237::        result = OBJ_cmp(a->d.rid, b->d.rid);
GENERAL_NAME_cmp::29::97.1762::        break;
GENERAL_NAME_cmp::30::49.6957::    }
GENERAL_NAME_cmp::31::76.5373::    return result;
GENERAL_NAME_cmp::32::12.7992::}
ossl_ffc_validate_public_key_partial::1::378.1836::int ossl_ffc_validate_public_key_partial(const FFC_PARAMS *params,
ossl_ffc_validate_public_key_partial::2::467.4218::                                         const BIGNUM *pub_key, int *ret)
ossl_ffc_validate_public_key_partial::3::33.4237::{
ossl_ffc_validate_public_key_partial::4::116.0047::    int ok = 0;
ossl_ffc_validate_public_key_partial::5::148.6260::    BIGNUM *tmp = NULL;
ossl_ffc_validate_public_key_partial::6::171.7950::    BN_CTX *ctx = NULL;
ossl_ffc_validate_public_key_partial::7::105.4397::    *ret = 0;
ossl_ffc_validate_public_key_partial::8::218.3203::    ctx = BN_CTX_new_ex(NULL);
ossl_ffc_validate_public_key_partial::9::124.8372::    if (ctx == NULL)
ossl_ffc_validate_public_key_partial::10::121.9810::        goto err;
ossl_ffc_validate_public_key_partial::11::168.5935::    BN_CTX_start(ctx);
ossl_ffc_validate_public_key_partial::12::197.2789::    tmp = BN_CTX_get(ctx);
ossl_ffc_validate_public_key_partial::13::209.9223::    /* Step(1): Verify pub_key >= 2 */
ossl_ffc_validate_public_key_partial::14::110.6333::    if (tmp == NULL
ossl_ffc_validate_public_key_partial::15::228.6812::        || !BN_set_word(tmp, 1))
ossl_ffc_validate_public_key_partial::16::122.1630::        goto err;
ossl_ffc_validate_public_key_partial::17::251.6633::    if (BN_cmp(pub_key, tmp) <= 0) {
ossl_ffc_validate_public_key_partial::18::302.9582::        *ret |= FFC_ERROR_PUBKEY_TOO_SMALL;
ossl_ffc_validate_public_key_partial::19::120.2862::        goto err;
ossl_ffc_validate_public_key_partial::20::49.0794::    }
ossl_ffc_validate_public_key_partial::21::234.8428::    /* Step(1): Verify pub_key <=  p-2 */
ossl_ffc_validate_public_key_partial::22::230.3065::    if (BN_copy(tmp, params->p) == NULL
ossl_ffc_validate_public_key_partial::23::227.2238::        || !BN_sub_word(tmp, 1))
ossl_ffc_validate_public_key_partial::24::123.2845::        goto err;
ossl_ffc_validate_public_key_partial::25::262.7152::    if (BN_cmp(pub_key, tmp) >= 0) {
ossl_ffc_validate_public_key_partial::26::328.0286::        *ret |= FFC_ERROR_PUBKEY_TOO_LARGE;
ossl_ffc_validate_public_key_partial::27::126.6898::        goto err;
ossl_ffc_validate_public_key_partial::28::52.7241::    }
ossl_ffc_validate_public_key_partial::29::98.8140::    ok = 1;
ossl_ffc_validate_public_key_partial::30::48.2631:: err:
ossl_ffc_validate_public_key_partial::31::147.9107::    if (ctx != NULL) {
ossl_ffc_validate_public_key_partial::32::207.2361::        BN_CTX_end(ctx);
ossl_ffc_validate_public_key_partial::33::208.3981::        BN_CTX_free(ctx);
ossl_ffc_validate_public_key_partial::34::49.9252::    }
ossl_ffc_validate_private_key::1::422.9185::int ossl_ffc_validate_private_key(const BIGNUM *upper, const BIGNUM *priv,
ossl_ffc_validate_private_key::2::324.0420::                                  int *ret)
ossl_ffc_validate_private_key::3::35.3224::{
ossl_ffc_validate_private_key::4::120.1883::    int ok = 0;
ossl_ffc_validate_private_key::5::113.1827::    *ret = 0;
ossl_ffc_validate_private_key::6::293.4639::    if (BN_cmp(priv, BN_value_one()) < 0) {
ossl_ffc_validate_private_key::7::314.2185::        *ret |= FFC_ERROR_PRIVKEY_TOO_SMALL;
ossl_ffc_validate_private_key::8::128.2414::        goto err;
ossl_ffc_validate_private_key::9::50.3753::    }
ossl_ffc_validate_private_key::10::225.3785::    if (BN_cmp(priv, upper) >= 0) {
ossl_ffc_validate_private_key::11::313.5571::        *ret |= FFC_ERROR_PRIVKEY_TOO_LARGE;
ossl_ffc_validate_private_key::12::116.9967::        goto err;
ossl_ffc_validate_private_key::13::50.1371::    }
ossl_ffc_validate_private_key::14::90.8188::    ok = 1;
ossl_ffc_validate_private_key::15::43.9440::err:
ossl_ffc_validate_private_key::16::76.7879::    return ok;
ossl_ffc_validate_private_key::17::11.6843::}
STACK_OF::1::412.6784::static STACK_OF(X509) *pkcs7_get_signer_certs(const PKCS7 *p7)
STACK_OF::2::31.9009::{
STACK_OF::3::231.4254::    if (PKCS7_type_is_signed(p7))
STACK_OF::4::193.4633::        return p7->d.sign->cert;
STACK_OF::5::265.7708::    if (PKCS7_type_is_signedAndEnveloped(p7))
STACK_OF::6::245.4567::        return p7->d.signed_and_enveloped->cert;
STACK_OF::7::70.3658::    return NULL;
STACK_OF::8::11.2911::}
ossl_pkcs7_resolve_libctx::1::313.8164::void ossl_pkcs7_resolve_libctx(PKCS7 *p7)
ossl_pkcs7_resolve_libctx::2::32.3917::{
ossl_pkcs7_resolve_libctx::3::81.1151::    int i;
ossl_pkcs7_resolve_libctx::4::364.8450::    const PKCS7_CTX *ctx = ossl_pkcs7_get0_ctx(p7);
ossl_pkcs7_resolve_libctx::5::389.8394::    OSSL_LIB_CTX *libctx = ossl_pkcs7_ctx_get0_libctx(ctx);
ossl_pkcs7_resolve_libctx::6::320.8126::    const char *propq = ossl_pkcs7_ctx_get0_propq(ctx);
ossl_pkcs7_resolve_libctx::7::440.9913::    STACK_OF(PKCS7_RECIP_INFO) *rinfos = pkcs7_get_recipient_info(p7);
ossl_pkcs7_resolve_libctx::8::436.6139::    STACK_OF(PKCS7_SIGNER_INFO) *sinfos = PKCS7_get_signer_info(p7);
ossl_pkcs7_resolve_libctx::9::373.2552::    STACK_OF(X509) *certs = pkcs7_get_signer_certs(p7);
ossl_pkcs7_resolve_libctx::10::124.4406::    if (ctx == NULL)
ossl_pkcs7_resolve_libctx::11::96.7686::        return;
ossl_pkcs7_resolve_libctx::12::296.5629::    for (i = 0; i < sk_X509_num(certs); i++)
ossl_pkcs7_resolve_libctx::13::432.9865::        ossl_x509_set0_libctx(sk_X509_value(certs, i), libctx, propq);
ossl_pkcs7_resolve_libctx::14::382.7551::    for (i = 0; i < sk_PKCS7_RECIP_INFO_num(rinfos); i++) {
ossl_pkcs7_resolve_libctx::15::432.3814::        PKCS7_RECIP_INFO *ri = sk_PKCS7_RECIP_INFO_value(rinfos, i);
ossl_pkcs7_resolve_libctx::16::349.5351::        ossl_x509_set0_libctx(ri->cert, libctx, propq);
ossl_pkcs7_resolve_libctx::17::49.4424::    }
ossl_pkcs7_resolve_libctx::18::403.2438::    for (i = 0; i < sk_PKCS7_SIGNER_INFO_num(sinfos); i++) {
ossl_pkcs7_resolve_libctx::19::452.2094::        PKCS7_SIGNER_INFO *si = sk_PKCS7_SIGNER_INFO_value(sinfos, i);
ossl_pkcs7_resolve_libctx::20::161.8494::        if (si != NULL)
ossl_pkcs7_resolve_libctx::21::61.8776::            si->ctx = ctx;
find_base_address::1::220.6057::void find_base_address(char *psz_filename)
find_base_address::2::35.6058::{
find_base_address::3::128.7773::    FILE *f_file;
find_base_address::4::152.4044::    poi_t *poi;
find_base_address::5::124.6038::    int nb_strings;
find_base_address::6::151.1198::    /* Initialize our list. */
find_base_address::7::201.2050::    poi_init(&g_poi_list);
find_base_address::8::160.4120::    /* Open file and get size. */
find_base_address::9::233.5594::    f_file = fopen(psz_filename, "rb");
find_base_address::10::147.0333::    if (f_file == NULL)
find_base_address::11::52.9698::    {
find_base_address::12::172.9749::        /* Failed to open file. */
find_base_address::13::231.5061::        printf("[!] Cannot access file '%s'
find_base_address::14::95.9857::", psz_filename);
find_base_address::15::51.1235::    }
find_base_address::16::53.8120::    else
find_base_address::17::53.0586::    {
find_base_address::18::199.2938::        /* Set file cursor to the end. */
find_base_address::19::259.1433::        fseek(f_file, 0, SEEK_END);
find_base_address::20::159.9201::        /* Get file size. */
find_base_address::21::235.4389::        g_content_size = ftell(f_file);
find_base_address::22::326.1063::        /* File size must be at least the size of the target architecture's pointer size. */
find_base_address::23::341.8160::        if (g_content_size >= get_arch_pointer_size(g_target_arch))
find_base_address::24::80.5766::        {
find_base_address::25::219.7307::            /* Determine file chunk size. */
find_base_address::26::190.7402::            compute_chunk_size();
find_base_address::27::272.9779::            /* Go back to the beginning of this file. */
find_base_address::28::300.2984::            fseek(f_file, 0, SEEK_SET);
find_base_address::29::260.8033::            /* Allocate enough memory to store content. */
find_base_address::30::342.4092::            gp_content = (unsigned char *)malloc(g_content_size);
find_base_address::31::214.3150::            if (gp_content == NULL)
find_base_address::32::117.1039::            {
find_base_address::33::199.6848::                printf("[!] Cannot allocate memory for file %s (%d bytes is too large)
find_base_address::35::130.5645::            }
find_base_address::36::136.5875::            else
find_base_address::37::128.9976::            {
find_base_address::38::270.3361::                /* Read file content. */
find_base_address::39::443.1527::                fread(gp_content, g_content_size, 1, f_file);
find_base_address::40::336.8669::                printf("[i] File read (%d bytes)
find_base_address::41::130.4014::", g_content_size);
find_base_address::42::257.2047::                /* Analyze entropy. */
find_base_address::43::421.4142::                memory_analyze(gp_content, g_content_size, "default");
find_base_address::44::376.4655::                if (g_target_endian != ENDIAN_UNKNOWN)
find_base_address::45::161.2359::                { 
find_base_address::46::380.1329::                    /* Detect endianness, pointer base and mask. */
find_base_address::47::711.0901::                    //detect_endianness(arch, p_file_content, ui_file_size, &g_ptr_base, &g_ptr_mask);
find_base_address::48::301.2819::                    /* Force endianness. */
find_base_address::49::372.0468::                    g_target_endian = g_target_endian;
find_base_address::50::157.5005::                }
find_base_address::51::159.4471::                else
find_base_address::52::159.1561::                {
find_base_address::53::434.5260::                    /* Endianness is unknown, try to guess it. */
find_base_address::54::494.7056::                    g_target_endian = detect_endianness(&g_ptr_base, &g_ptr_mask);
find_base_address::55::173.7449::                }
find_base_address::56::431.0643::                if (g_target_endian != ENDIAN_UNKNOWN)
find_base_address::57::163.1117::                {
find_base_address::58::411.9173::                    printf("[i] Endianness is %s
find_base_address::59::350.4388::", (g_target_endian==ENDIAN_LE)?"LE":"BE");
find_base_address::60::379.3400::                    if (g_symbols_list == NULL)
find_base_address::61::188.9286::                    {
find_base_address::62::356.9750::                        /* Search points of interest. */
find_base_address::63::444.1285::                        index_poi(&g_poi_list, 1);
find_base_address::64::413.3515::                        index_functions(&g_poi_list);
find_base_address::65::422.4895::                        g_candidates = addrtree_node_alloc();
find_base_address::66::515.9744::                        compute_candidates(&g_poi_list, g_candidates);
find_base_address::67::194.0695::                    }
find_base_address::68::202.0049::                    else
find_base_address::69::196.8854::                    {
find_base_address::70::358.8076::                        /* Index strings. */
find_base_address::71::483.7654::                        index_poi(g_symbols_list, 1);
find_base_address::72::257.5245::                        g_candidates = addrtree_node_alloc();
find_base_address::73::599.4497::                        compute_candidates(g_symbols_list, g_candidates);
find_base_address::74::339.2798::                    }                
find_base_address::75::166.9212::                }
find_base_address::76::166.5572::                else
find_base_address::77::166.7210::                {
find_base_address::78::417.7114::                    printf("[!] Unable to detect endianness :X
find_base_address::79::50.4684::");
find_base_address::80::156.6830::                }
find_base_address::81::129.7149::            }
find_base_address::82::95.4711::        }
find_base_address::83::94.2673::        else
find_base_address::84::92.4583::        {
find_base_address::85::350.5966::            printf("[!] Input file must be at least %d bytes.
find_base_address::86::243.6394::", get_arch_pointer_size(g_target_arch));
find_base_address::87::82.8868::        }
find_base_address::88::50.6277::    }
find_base_address::89::12.4615::}
bits::1::493.6501::AP4_Dac4Atom::AP4_Dac4Atom(AP4_UI32 size, const Ac4Dsi* ac4Dsi):
bits::2::401.8525::    AP4_Atom(AP4_ATOM_TYPE_DAC4, AP4_ATOM_HEADER_SIZE){
bits::3::154.2309::    AP4_BitWriter bits(size);
bits::4::271.9178::    bits.Write(ac4Dsi->ac4_dsi_version, 3);
bits::5::302.2971::    bits.Write(ac4Dsi->d.v1.bitstream_version, 7);
bits::6::282.0841::    bits.Write(ac4Dsi->d.v1.fs_index, 1);
bits::7::303.3266::    bits.Write(ac4Dsi->d.v1.frame_rate_index, 4);
bits::8::159.6629::    // IMS presentation shall has the legacy presentation
bits::9::167.8608::    unsigned int add_n_presentations = 0;
bits::10::432.3552::    for (unsigned int idx = 0; idx < ac4Dsi->d.v1.n_presentations; idx++){
bits::11::402.9087::        if (ac4Dsi->d.v1.presentations[idx].presentation_version == 2) { 
bits::12::188.7645::            add_n_presentations++; 
bits::13::75.5388::        }
bits::14::48.1605::    }
bits::15::243.7872::    // Assume the total presentation numbers is less than 512 after adding legacy presentation
bits::16::386.4608::    bits.Write(ac4Dsi->d.v1.n_presentations + add_n_presentations, 9);
bits::17::280.4128::    if (ac4Dsi->d.v1.bitstream_version > 1){
bits::18::348.5458::        bits.Write(ac4Dsi->d.v1.b_program_id, 1);
bits::19::326.5323::        if (ac4Dsi->d.v1.b_program_id == 1){
bits::20::386.2325::            bits.Write(ac4Dsi->d.v1.short_program_id, 16);
bits::21::347.5152::            bits.Write(ac4Dsi->d.v1.b_uuid, 1);
bits::22::395.1241::            if (ac4Dsi->d.v1.b_uuid == 1) {
bits::23::413.1462::                for (unsigned int idx = 0; idx < 16; idx ++) {
bits::24::488.2746::                    bits.Write(ac4Dsi->d.v1.program_uuid[idx], 8);
bits::25::139.5038::                }
bits::26::112.0789::            }
bits::27::79.3684::        }
bits::28::49.9091::    }
bits::29::169.8193::    // ac4_bitrate_dsi()
bits::30::650.1378::    AP4_Dac4Atom::Ac4Dsi::Ac4BitrateDsi ac4_bitrate_dsi = ac4Dsi->d.v1.ac4_bitrate_dsi;
bits::31::262.3837::    ac4_bitrate_dsi.WriteBitrateDsi(bits);
bits::32::155.7876::    AP4_ByteAlign(bits);
bits::33::456.8634::    for (unsigned int idx = 0; idx < ac4Dsi->d.v1.n_presentations; idx ++) {
bits::34::250.5908::        unsigned int default_pres_bytes = 36;   // random value
bits::35::560.1100::        AP4_Dac4Atom::Ac4Dsi::PresentationV1 &presentation = ac4Dsi->d.v1.presentations[idx];
bits::36::271.6022::        bits.Write(presentation.presentation_version, 8);
bits::37::419.4409::        bits.Write(default_pres_bytes, 8);      // pres_bytes, need to be updated later
bits::38::422.9773::        //TODO: if (pres_bytes == 255), shall not happen now. Need the memory move function for bits
bits::39::309.9371::        unsigned int pres_bytes_idx = bits.GetBitCount() / 8 - 1;
bits::40::823.1063::        if (ac4Dsi->d.v1.n_presentations != 1 && presentation.d.v1.b_presentation_id == 0 && presentation.d.v1.b_extended_presentation_id == 0) {
bits::41::623.0057::            fprintf(stderr, "WARN: Need presentation_id for multiple presnetaion signal. The presentation of Presentation Index (PI) is %d miss presentation_id.
bits::42::95.0637::", idx + 1);
bits::43::81.1714::        }
bits::44::241.0412::        if (presentation.presentation_version == 0){
bits::45::218.3472::            // TODO: support presentation version = 0
bits::46::391.0779::        }else if (presentation.presentation_version == 1 || presentation.presentation_version == 2){
bits::47::254.1950::            presentation.WritePresentationV1Dsi(bits);
bits::48::603.8409::            Ap4_Ac4UpdatePresBytes(bits.GetData(), pres_bytes_idx, bits.GetBitCount()/8 - pres_bytes_idx - 1);
bits::49::105.1443::        } else {
bits::50::388.8483::            Ap4_Ac4UpdatePresBytes(bits.GetData(), pres_bytes_idx, 0);
bits::51::82.1822::        }
